0	289
1	156
2	105
3	70
4	68
5	45
6	51
7	64
8	46
9	53
10	49
11	33
12	37
13	40
14	44
15	34
16	42
17	34
18	33
19	42
20	23
21	30
22	20
23	34
24	15
25	20
26	13
27	16
28	19
29	15
30	14
31	22
32	14
33	20
34	17
35	16
36	16
37	19
38	19
39	21
40	23
41	26
42	25
43	29
44	23
45	21
46	14
47	14
48	9
49	18
50	16
51	9
52	15
53	5
54	11
55	11
56	10
57	15
58	16
59	11
60	18
61	15
62	15
63	6
64	9
65	12
66	8
67	7
68	9
69	8
70	5
71	7
72	2
73	3
74	3
75	5
76	7
77	5
78	2
79	3
80	9
81	4
82	1
83	2
84	2
85	1
86	0
87	5
88	1
89	2
90	4
91	3
92	3
93	2
94	0
95	2
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	1
